name1,name2,frequency
侯亮平,李达康,36
侯亮平,沙瑞金,22
侯亮平,吴慧芬,1
侯亮平,高育良,75
侯亮平,祁同伟,94
侯亮平,陆亦可,46
侯亮平,钟小艾,46
侯亮平,高小琴,35
侯亮平,吴惠芬,14
侯亮平,欧阳菁,16
侯亮平,赵瑞龙,18
侯亮平,郑西坡,3
侯亮平,赵东来,22
侯亮平,梁璐,4
侯亮平,季昌明,74
侯亮平,程度,3
侯亮平,丁义珍,24
侯亮平,陈海,39
侯亮平,赵德汉,10
侯亮平,林华华,12
侯亮平,周正,3
侯亮平,陈岩石,19
侯亮平,刘新建,27
侯亮平,蔡成功,42
侯亮平,王馥真,2
侯亮平,陈清泉,2
侯亮平,陈群芳,4
侯亮平,张宝宝,2
侯亮平,郑胜利,3
侯亮平,肖钢玉,12
侯亮平,吴心怡,5
侯亮平,侯浩然,8
侯亮平,小皮球,12
侯亮平,尤瑞星,7
侯亮平,陈文强,1
侯亮平,杜伯仲,4
侯亮平,高小凤,4
侯亮平,赵德汉,10
李达康,沙瑞金,62
李达康,高育良,48
李达康,祁同伟,68
李达康,陆亦可,6
李达康,高小琴,24
李达康,吴惠芬,4
李达康,欧阳菁,62
李达康,赵瑞龙,16
李达康,郑西坡,12
李达康,赵东来,28
李达康,季昌明,24
李达康,程度,10
李达康,丁义珍,18
李达康,陈岩石,26
李达康,刘新建,4
李达康,蔡成功,26
李达康,易学习,32
李达康,陈清泉,12
李达康,孙连城,28
李达康,王大路,22
李达康,孙海平,2
李达康,毛娅,4
李达康,张树立,2
沙瑞金,高育良,20
沙瑞金,祁同伟,32
沙瑞金,陆亦可,1
沙瑞金,钟小艾,2
沙瑞金,高小琴,6
沙瑞金,欧阳菁,3
沙瑞金,赵瑞龙,13
沙瑞金,郑西坡,3
沙瑞金,赵东来,3
沙瑞金,梁璐,1
沙瑞金,季昌明,20
沙瑞金,丁义珍,5
沙瑞金,陈海,4
沙瑞金,陈岩石,20
沙瑞金,刘新建,1
沙瑞金,蔡成功,3
沙瑞金,王馥真,1
沙瑞金,易学习,16
沙瑞金,孙连城,2
沙瑞金,吴心怡,1
沙瑞金,王大路,1
沙瑞金,王文革,2
沙瑞金,毛娅,3
沙瑞金,张树立,1
沙瑞金,吴春林,2
沙瑞金,汤成兰,1
沙瑞金,尤瑞星,1
吴慧芬,高育良,1
